"id","code","description","status","version"
"256","4664","Comercio al por mayor de productos químicos básicos, cauchos y plásticos en formas primarias y productos químicos de uso agropecuario.","1","3"
"257","4665","Comercio al por mayor de desperdicios, desechos y chatarra.","1","3"
"258","4669","Comercio al por mayor de otros productos n.c.p.","1","3"
"259","4690","Comercio al por mayor no especializado.","1","3"
"260","4711","Comercio al por menor en establecimientos no especializados con surtido com­puesto principalmente por alimentos, bebidas o tabaco.","1","3"
"261","4719","Comercio al por menor en establecimientos no especializados, con surtido compuesto principalmente por productos diferentes de alimentos (víveres en general), bebidas y tabaco.","1","3"
"262","4721","Comercio al por menor de productos agrícolas para el consumo en establecimientos especializados.","1","3"
"263","4722","Comercio al por menor de leche, productos lácteos y huevos, en establecimientos especializados.","1","3"
"264","4723","Comercio al por menor de carnes (incluye aves de corral), productos cárnicos, pescados y productos de mar, en establecimientos especializados.","1","3"
"265","4724","Comercio al por menor de bebidas y productos del tabaco, en establecimientos especializados.","1","3"
"266","4729","Comercio al por menor de otros productos alimenticios n.c.p., en establecimientos especializados.","1","3"
"267","4731","Comercio al por menor de combustible para automotores.","1","3"
"268","4732","Comercio al por menor de lubricantes (aceites, grasas), aditivos y productos de limpieza para vehículos automotores.","1","3"
"269","4741","Comercio al por menor de computadores, equipos periféricos, programas de in­formática y equipos de telecomunicaciones en establecimientos especializados.","1","3"
"270","4742","Comercio al por menor de equipos y aparatos de sonido y de video, en estable­cimientos especializados.","1","3"
"271","4751","Comercio al por menor de productos textiles en establecimientos especializados.","1","3"
"272","4752","Comercio al por menor de artículos de ferretería, pinturas y productos de vidrio en establecimientos especializados.","1","3"
"273","4753","Comercio al por menor de tapices, alfombras y cubrimientos para paredes y pisos en establecimientos especializados.","1","3"
"274","4754","Comercio al por menor de electrodomésticos y gasodomésticos de uso doméstico, muebles y equipos de iluminación.","1","3"
"275","4755","Comercio al por menor de artículos y utensilios de uso doméstico.","1","3"
"276","4759","Comercio al por menor de otros artículos domésticos en establecimientos espe­cializados.","1","3"
"277","4761","Comercio al por menor de libros, periódicos, materiales y artículos de papelería y escritorio, en establecimientos especializados.","1","3"
"278","4762","Comercio al por menor de artículos deportivos, en establecimientos especializados.","1","3"
"279","4769","Comercio al por menor de otros artículos culturales y de entretenimiento n.c.p. en establecimientos especializados.","1","3"
"280","4771","Comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados.","1","3"
"281","4772","Comercio al por menor de todo tipo de calzado y artículos de cuero y sucedáneos del cuero en establecimientos especializados.","1","3"
"282","4773","Comercio al por menor de productos farmacéuticos y medicinales, cosméticos y artículos de tocador en establecimientos especializados.","1","3"
"283","4774","Comercio al por menor de otros productos nuevos en establecimientos especializados.","1","3"
"284","4775","Comercio al por menor de artículos de segunda mano.","1","3"
"285","4781","Comercio al por menor de alimentos, bebidas y tabaco, en puestos de venta móviles.","1","3"
"286","4782","Comercio al por menor de productos textiles, prendas de vestir y calzado, en puestos de venta móviles.","1","3"
"287","4789","Comercio al por menor de otros productos en puestos de venta móviles.","1","3"
"288","4791","Comercio al por menor realizado a través de internet.","1","3"
"289","4792","Comercio al por menor realizado a través de casas de venta o por correo.","1","3"
"290","4799","Otros tipos de comercio al por menor no realizado en establecimientos, puestos de venta o mercados.","1","3"
"291","4911","Transporte férreo de pasajeros.","1","3"
"292","4912","Transporte férreo de carga.","1","3"
"293","4921","Transporte de pasajeros.","1","3"
